Query,Document
1,output_129018.txt
1,output_352504.txt
1,output_368279.txt
1,output_131110.txt
1,output_279717.txt
1,output_37773.txt
1,output_348831.txt
1,output_195406.txt
1,output_459158.txt
1,output_148953.txt
2,output_12807.txt
2,output_195084.txt
2,output_389103.txt
2,output_406264.txt
2,output_231539.txt
2,output_173366.txt
2,output_183715.txt
2,output_20646.txt
2,output_307018.txt
2,output_249151.txt
3,output_412243.txt
3,output_5024.txt
3,output_389228.txt
3,output_22348.txt
3,output_74214.txt
3,output_446120.txt
3,output_225163.txt
3,output_240492.txt
3,output_155797.txt
3,output_10793.txt
4,output_90548.txt
4,output_215320.txt
4,output_286212.txt
4,output_446384.txt
4,output_133122.txt
4,output_169797.txt
4,output_394572.txt
4,output_400411.txt
4,output_422050.txt
4,output_217008.txt
5,output_122303.txt
5,output_11766.txt
5,output_44508.txt
5,output_350810.txt
5,output_481987.txt
5,output_470526.txt
5,output_258900.txt
5,output_429555.txt
5,output_295851.txt
5,output_319411.txt
6,output_77104.txt
6,output_389393.txt
6,output_82131.txt
6,output_248947.txt
6,output_85102.txt
6,output_342088.txt
6,output_304843.txt
6,output_294577.txt
6,output_134634.txt
6,output_324127.txt
7,output_444818.txt
7,output_116743.txt
7,output_422407.txt
7,output_29840.txt
7,output_339379.txt
7,output_453178.txt
7,output_108290.txt
7,output_94756.txt
7,output_117751.txt
7,output_248778.txt
8,output_415854.txt
8,output_102418.txt
8,output_109001.txt
8,output_14705.txt
8,output_401711.txt
8,output_323435.txt
8,output_334887.txt
8,output_403438.txt
8,output_362404.txt
8,output_405492.txt
9,output_95059.txt
9,output_102770.txt
9,output_325779.txt
9,output_382221.txt
9,output_357689.txt
9,output_62523.txt
9,output_255713.txt
9,output_359521.txt
9,output_99688.txt
9,output_108018.txt
10,output_89072.txt
10,output_67533.txt
10,output_297761.txt
10,output_205076.txt
10,output_294810.txt
10,output_169545.txt
10,output_298045.txt
10,output_212446.txt
10,output_394283.txt
10,output_242805.txt
11,output_17238.txt
11,output_427902.txt
11,output_431779.txt
11,output_227359.txt
11,output_68442.txt
11,output_275918.txt
11,output_129727.txt
11,output_49893.txt
11,output_445355.txt
11,output_209639.txt
12,output_3976.txt
12,output_267626.txt
12,output_463487.txt
