Query,Document
174249,output_352144.txt
174249,output_211324.txt
174249,output_327023.txt
174249,output_333580.txt
174249,output_415192.txt
174249,output_323549.txt
174249,output_203144.txt
174249,output_470814.txt
174249,output_167897.txt
174249,output_430678.txt
320792,output_85081.txt
320792,output_54367.txt
320792,output_327470.txt
320792,output_112814.txt
320792,output_285694.txt
320792,output_246395.txt
320792,output_329416.txt
320792,output_155933.txt
320792,output_210043.txt
320792,output_456695.txt
1090270,output_492479.txt
1090270,output_482756.txt
1090270,output_297862.txt
1090270,output_129716.txt
1090270,output_377588.txt
1090270,output_196751.txt
1090270,output_185261.txt
1090270,output_374960.txt
1090270,output_35057.txt
1090270,output_202154.txt
1101279,output_181746.txt
1101279,output_1228.txt
1101279,output_114065.txt
1101279,output_453030.txt
1101279,output_131590.txt
1101279,output_451734.txt
1101279,output_433524.txt
1101279,output_240109.txt
1101279,output_294806.txt
1101279,output_481737.txt
201376,output_418950.txt
201376,output_338341.txt
201376,output_45517.txt
201376,output_487177.txt
201376,output_96506.txt
201376,output_171336.txt
201376,output_457873.txt
201376,output_122856.txt
201376,output_195947.txt
201376,output_448114.txt
54544,output_52880.txt
54544,output_44280.txt
54544,output_293476.txt
54544,output_245635.txt
54544,output_75530.txt
54544,output_439069.txt
54544,output_114298.txt
54544,output_158458.txt
54544,output_11685.txt
54544,output_283611.txt
118457,output_457327.txt
118457,output_186197.txt
118457,output_1658.txt
118457,output_183462.txt
118457,output_170186.txt
118457,output_84363.txt
118457,output_225657.txt
118457,output_377006.txt
118457,output_495524.txt
118457,output_40014.txt
178627,output_460172.txt
178627,output_278842.txt
178627,output_320635.txt
178627,output_371886.txt
178627,output_367941.txt
178627,output_27520.txt
178627,output_30831.txt
178627,output_239947.txt
178627,output_46259.txt
178627,output_228105.txt
1101278,output_384219.txt
1101278,output_6739.txt
1101278,output_170327.txt
1101278,output_224504.txt
1101278,output_441777.txt
1101278,output_50419.txt
1101278,output_442178.txt
1101278,output_304377.txt
1101278,output_204513.txt
1101278,output_155523.txt
68095,output_373931.txt
68095,output_269491.txt
68095,output_358723.txt
68095,output_372509.txt
68095,output_398126.txt
68095,output_137915.txt
68095,output_276376.txt
68095,output_69825.txt
68095,output_200742.txt
68095,output_55984.txt
87892,output_176754.txt
87892,output_278422.txt
87892,output_111436.txt
87892,output_452519.txt
87892,output_158159.txt
87892,output_106566.txt
87892,output_376249.txt
87892,output_339609.txt
87892,output_136221.txt
87892,output_87779.txt
257309,output_221441.txt
257309,output_481704.txt
257309,output_450479.txt
257309,output_464177.txt
257309,output_420764.txt
257309,output_35506.txt
257309,output_926.txt
257309,output_298382.txt
257309,output_105074.txt
257309,output_227058.txt
1090242,output_147652.txt
1090242,output_500552.txt
1090242,output_340037.txt
1090242,output_92915.txt
1090242,output_175278.txt
1090242,output_143004.txt
